key,source,en,zh
ui.settings,Settings,Settings,设置
ui.server_log,Agent Log,Agent Log,代理日志
ui.agent_log,Agent Log,Agent Log,代理日志
ui.tool_manager,Tool Manager,Tool Manager,工具管理器
ui.status_unknown,Status: Unknown,Status: Unknown,状态：未知
ui.status_ready,Status: Ready,Status: Ready,状态：就绪
ui.status_running,Status: Ready,Status: Ready,状态：就绪
ui.status_stopped,Status: Unavailable,Status: Unavailable,状态：不可用
ui.clear_log,Clear Log,Clear Log,清除日志
ui.refresh_tools,Refresh Tools,Refresh Tools,刷新工具
ui.transport_settings,Agent Settings,Agent Settings,代理设置
ui.vibe_coding_mode,Vibe Coding / Do Not Disturb,Vibe Coding / Do Not Disturb,Vibe Coding / 免打扰模式
ui.log_level,Log Level:,Log Level:,日志级别：
ui.security,Security:,Security:,安全级别：
ui.language,Language:,Language:,语言：
ui.english,English,English,English
ui.chinese,中文,中文,中文
ui.core_tools,Core Tools,Core Tools,核心工具
ui.supplementary_tools,Supplementary Tools,Supplementary Tools,补充工具
ui.tools_count,Core: %d/%d | Supp: %d/%d | Total: %d/%d,Core: %d/%d | Supp: %d/%d | Total: %d/%d,核心：%d/%d | 补充：%d/%d | 总计：%d/%d
ui.enabled_format,Enabled: %d / %d,Enabled: %d / %d,已启用：%d / %d
ui.tools_init,Tools: 0,Tools: 0,工具：0
